,name,alpha-3,region,sub-region,year,CO2,renewable,no_renewable,GDP,Population
99,Laos,LAO,Asia,South-eastern Asia,2018,19360.00061,66.28,33.72,17953786416,7061498
100,Laos,LAO,Asia,South-eastern Asia,2019,18709.99908,57.56,42.44,18173839147,7169456
101,Lebanon,LBN,Asia,Western Asia,2018,27790.00092,2.1,97.9,54961275742,6859408
102,Lebanon,LBN,Asia,Western Asia,2019,27950.00076,1.86,98.14,51991634492,6855709
103,Libya,LBY,Africa,Northern Africa,2018,56619.99893,0.02,99.98,52607888718,6678565
104,Libya,LBY,Africa,Northern Africa,2019,56799.99924,0.03,99.97,52091152228,6777453
105,Lithuania,LTU,Europe,Northern Europe,2018,11649.99962,83.42,16.58,53722883091,2801543
106,Lithuania,LTU,Europe,Northern Europe,2019,11729.99954,81.87,18.13,54627411860,2794137
107,Luxembourg,LUX,Europe,Western Europe,2018,9319.999695,76.83,23.17,70919958016,607950
108,Luxembourg,LUX,Europe,Western Europe,2019,9489.999771,76.83,23.17,71104919108,620001
109,Maldives,MDV,Asia,Southern Asia,2018,2099.999905,0.33,99.67,5299773145,515704
110,Maldives,MDV,Asia,Southern Asia,2019,2109.999895,0.32,99.68,5642179170,530957
111,Mali,MLI,Africa,Sub-Saharan Africa,2018,5469.99979,41.85,58.15,17070758732,19077755
112,Mali,MLI,Africa,Sub-Saharan Africa,2019,5829.999924,39.62,60.38,17279566719,19658023
113,Malta,MLT,Europe,Southern Europe,2018,1549.999952,10.55,89.45,14750790658,484630
114,Malta,MLT,Europe,Southern Europe,2019,1659.999967,10.55,89.45,14989415684,504062
115,Mauritius,MUS,Africa,Sub-Saharan Africa,2018,4130.000114,32.19,67.81,14181951059,1265303
116,Mauritius,MUS,Africa,Sub-Saharan Africa,2019,4170.000076,31.04,68.96,14048430519,1265711
117,Morocco,MAR,Africa,Northern Africa,2018,64959.99908,19.93,80.07,1.18096E+11,36029089
